Media,Release Year,Director name,Is the director asian?,Character Name,Actor,Ethnicity Specified in Movie?,Character Ethnicity,Character Ethnicity (Cleaned),Character Nationality,Actor Ethnicity,Actor Ethnicity (Cleaned),Actor Nationality,Background Match?
47 RONIN,2013,Carl Eric Rinsch,N,Kai,Keanu Reeves,Y,"Japanese, White",Multiethnic,,"Chinese, Native Hawaiian, White",Multiethnic,,N
A HOLOGRAM FOR THE KING,2016,Tom Tykwer,N,Yousef,Omar Elba,Y,Saudi Arabian,Saudi Arabian,Saudi Arabian,Egyptian,Egyptian,American,N
A HOLOGRAM FOR THE KING,2016,Tom Tykwer,N,Zahra,Sarita Choudhury,Y,Saudi Arabian,Saudi Arabian,Saudi Arabian,"Bengali, White",Multiethnic,British,N
AMERICAN DREAMZ,2006,Paul Weitz,N,Iqbal Riza,Winter Jones (Tony Yalda),Y,Iraqi,Iraqi,,Assyrian,Assyrian,American,N
CRAZY RICH ASIANS,2018,Jon M. Chu,Y,Goh Wye Mun,Ken Jeong,Y,Chinese,Chinese,Singaporean,Korean,Korean,American,N
CRAZY RICH ASIANS,2018,Jon M. Chu,Y,Nick Young,Henry Golding,Y,Chinese,Chinese,Singaporean,"Malaysian, White",Multiethnic,British,N
ETERNALS,2021,Chloé Zhao,Y,Kingo,Kumail Nanjiani,Y,Indian,Indian,,Pakistani,Pakistani,,N
KILL BILL: VOL. 1,2003,Quentin Tarantino,N,O-Ren Ishii,Lucy Liu,Y,Japanese,Japanese,,Chinese,Chinese,,N
KILL BILL: VOL. 2,2004,Quentin Tarantino,N,Johnny Mo,Chia-Hui Liu,Y,Japanese,Japanese,,Chinese,Chinese,,N
KILL BILL: VOL. 2,2004,Quentin Tarantino,N,O-Ren Ishii,Lucy Liu,Y,Japanese,Japanese,,Chinese,Chinese,,N
MEMOIRS OF A GEISHA,2005,Rob Marshall,N,Hatsumomo,Gong Li,Y,Japanese,Japanese,,Chinese,Chinese,,N
MEMOIRS OF A GEISHA,2005,Rob Marshall,N,Mameha,Michelle Yeoh,Y,Japanese,Japanese,,Chinese,Chinese,,N
MEMOIRS OF A GEISHA,2005,Rob Marshall,N,Sayuri,Ziyi Zhang,Y,Japanese,Japanese,,Chinese,Chinese,,N
MISSING IN ACTION,1984,Joseph Zito,N,General Tran,James Hong,Y,Vietnamese,Vietnamese,Vietnamese,Chinese,Chinese,American,N
MORTAL KOMBAT,2021,Simon McQuoid,N,Sub-Zero,Joe Taslim,Y,Japanese,Japanese,,Indonesian,Indonesian,,N
SEVEN YEARS IN TIBET,1997,Jean-Jacques Annaud,N,Dalai Lama,Jamyang Jamtsho Wangchuk,Y,Tibetan,Tibetan,,Bhutanese,Bhutanese,,N
SEVEN YEARS IN TIBET,1997,Jean-Jacques Annaud,N,Great Mother,Jetsun Pema,Y,Tibetan,Tibetan,,Bhutanese,Bhutanese,,N
SEVEN YEARS IN TIBET,1997,Jean-Jacques Annaud,N,Kungo Tsarong,Mako,Y,Tibetan,Tibetan,,Japanese,Japanese,,N
SEVEN YEARS IN TIBET,1997,Jean-Jacques Annaud,N,Ngawang Jigme,BD Wong,Y,Tibetan,Tibetan,,Chinese,Chinese,,N
THE BIG SICK,2017,Michael Showalter,N,Azmat,Anupam Kher,Y,Pakistani,Pakistani,,Indian,Indian,,N
THE BIG SICK,2017,Michael Showalter,N,Sharmeen,Zenobia Shroff,Y,Pakistani,Pakistani,,Indian,Indian,,N
THE GRANDMASTER,2013,Kar Wai Wong,Y,Zhang Yongcheng,Hye-kyo Song,Y,Chinese,Chinese,Chinese,Korean,Korean,Korean,N
THE MAN WITH THE IRON FISTS,2012,RZA,N,Bronze Lion,Cung Le,Y,Chinese,Chinese,Chinese,Vietnamese,Vietnamese,American,N
THE MAN WITH THE IRON FISTS,2012,RZA,N,Lady Silk,Jamie Chung,Y,Chinese,Chinese,Chinese,Korean,Korean,American,N
THE MAN WITH THE IRON FISTS,2012,RZA,N,X-Blade,Rick Yune,Y,Chinese,Chinese,Chinese,Korean,Korean,American,N
THE WOLVERINE,2013,James Mangold,N,Harada,Will Yun Lee,Y,Japanese,Japanese,,Korean,Korean,,N
AMERICAN DREAMZ,2006,Paul Weitz,N,Omer Obeidi,Sam Golzari,Y,Iraqi,Iraqi,,Iranian,Iranian,British,N
2046,2005,Kar Wai Wong,Y,Bai Ling,Ziyi Zhang,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
2046,2005,Kar Wai Wong,Y,Chow Mo-wan,Tony Chiu Wai Leung,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
2046,2005,Kar Wai Wong,Y,Lulu,Carina Lau,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
2046,2005,Kar Wai Wong,Y,Mimi's Boyfriend,Chang Chen,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Taiwanese,Y
2046,2005,Kar Wai Wong,Y,Su Li-zhen,Gong Li,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
2046,2005,Kar Wai Wong,Y,Su Li-zhen,Maggie Cheung,Y,Chinese,Chinese,Chinese,Chinese,Chinese,British,Y
2046,2005,Kar Wai Wong,Y,Tak,Takuya Kimura,Y,Japanese,Japanese,Japanese,Japanese,Japanese,Japanese,Y
2046,2005,Kar Wai Wong,Y,Wang Jing-wen,Faye Wong,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
47 RONIN,2013,Carl Eric Rinsch,N,Lady Mizuki,Rinko Kikuchi,Y,Japanese,Japanese,,Japanese,Japanese,,Y
47 RONIN,2013,Carl Eric Rinsch,N,Lord Kira,Tadanobu Asano,Y,Japanese,Japanese,,Japanese,Japanese,,Y
47 RONIN,2013,Carl Eric Rinsch,N,Mika,Ko Shibasaki,Y,Japanese,Japanese,,Japanese,Japanese,,Y
47 RONIN,2013,Carl Eric Rinsch,N,Oishi,Hiroyuki Sanada,Y,Japanese,Japanese,,Japanese,Japanese,,Y
AROUND THE WORLD IN 80 DAYS,2004,Frank Coraci,N,Lau Xing,Jackie Chan,Y,Chinese,Chinese,Chinese,Chinese,Chinese,American,Y
BEND IT LIKE BECKHAM,2003,Gurinder Chadha,Y,Jess' Bhamra,Archie Panjabi,Y,Indian,Indian,,Indian,Indian,UK,Y
BEND IT LIKE BECKHAM,2003,Gurinder Chadha,Y,Mr. Bhamra,Anupam Kher,Y,Indian,Indian,,Indian,Indian,,Y
BEND IT LIKE BECKHAM,2003,Gurinder Chadha,Y,Pinky Bhamra,Parminder Nagra,Y,Indian,Indian,,Indian,Indian,,Y
BULLET TRAIN,2022,David Leitch,N,Elder,Hiroyuki Sanada,Y,Japanese,Japanese,,Japanese,Japanese,,Y
BULLET TRAIN,2022,David Leitch,N,Kimura,Andrew Koji,Y,Japanese,Japanese,,"Japanese, White",Multiethnic,,Y
CRAZY RICH ASIANS,2018,Jon M. Chu,Y,Ah Ma,Lisa Lu,Y,Chinese,Chinese,Singaporean,Chinese,Chinese,American,Y
CRAZY RICH ASIANS,2018,Jon M. Chu,Y,Astrid Young Teo,Gemma Chan,Y,Chinese,Chinese,Singaporean,Chinese,Chinese,British,Y
CRAZY RICH ASIANS,2018,Jon M. Chu,Y,Eleanor Young,Michelle Yeoh,Y,Chinese,Chinese,Singaporean,Chinese,Chinese,Malaysian,Y
CRAZY RICH ASIANS,2018,Jon M. Chu,Y,Peik Lin Goh,Awkwafina,Y,Chinese,Chinese,Singaporean,"Chinese, Korean",Multiethnic,American,Y
CRAZY RICH ASIANS,2018,Jon M. Chu,Y,Rachel Chu,Constance Wu,Y,Chinese,Chinese,American,Chinese,Chinese,American,Y
"CROUCHING TIGER, HIDDEN DRAGON",2000,Ang Lee,Y,Jen Yu,Ziyi Zhang,Y,Chinese,Chinese,,Chinese,Chinese,,Y
"CROUCHING TIGER, HIDDEN DRAGON",2000,Ang Lee,Y,Lo Dark Cloud,Chang Chen,Y,Chinese,Chinese,,Chinese,Chinese,,Y
"CROUCHING TIGER, HIDDEN DRAGON",2000,Ang Lee,Y,Master Li Mu Bai,Chow Yun-Fat,Y,Chinese,Chinese,,Chinese,Chinese,,Y
"CROUCHING TIGER, HIDDEN DRAGON",2000,Ang Lee,Y,Yu Shu Lien,Michelle Yeoh,Y,Chinese,Chinese,,Chinese,Chinese,,Y
DOWNSIZING,2017,Alexander Payne,N,Ngoc Lan Tran,Hong Chau,Y,Vietnamese,Vietnamese,Vietnamese,Vietnamese,Vietnamese,Thailand/American,Y
EASTER SUNDAY,2022,Jay Chandrasekhar,Y,Eugene,Eugene Cordero,Y,Filipino,Filipino,American,Filipino,Filipino,American,Y
EASTER SUNDAY,2022,Jay Chandrasekhar,Y,Joe Valencia,Jo Koy,Y,Filipino,Filipino,American,"Filipino, White",Multiethnic,American,Y
EASTER SUNDAY,2022,Jay Chandrasekhar,Y,Junior,Brandon Wardell,Y,Filipino,Filipino,American,"Filipino, Hispanic",Multiethnic,American,Y
EASTER SUNDAY,2022,Jay Chandrasekhar,Y,Tita Theresa,Tia Carrere,Y,Filipino,Filipino,American,"Chinese, Filipino, Spanish",Multiethnic,American,Y
ETERNALS,2021,Chloé Zhao,Y,Karun,Harish Patel,Y,Indian,Indian,,Indian,Indian,,Y
EVERYTHING EVERYWHERE ALL AT ONCE,2022,"Daniel Kwan, Daniel Scheinert",Y,Evelyn Wang,Michelle Yeoh,Y,Chinese,Chinese,American,Chinese,Chinese,Malaysian,Y
EVERYTHING EVERYWHERE ALL AT ONCE,2022,"Daniel Kwan, Daniel Scheinert",Y,Gong Gong,James Hong,Y,Chinese,Chinese,American,Chinese,Chinese,American,Y
EVERYTHING EVERYWHERE ALL AT ONCE,2022,"Daniel Kwan, Daniel Scheinert",Y,Joy Wang,Stephanie Hsu,Y,Chinese,Chinese,American,Chinese,Chinese,American,Y
EVERYTHING EVERYWHERE ALL AT ONCE,2022,"Daniel Kwan, Daniel Scheinert",Y,Waymond Wang,Ke Huy Quan,Y,Chinese,Chinese,American,Chinese,Chinese,American,Y
GANDHI,1982,Richard Attenborough,N,Mahatma Gandhi,Ben Kingsley,Y,Indian,Indian,,"Indian, White",Multiethnic,,Y
HOTEL MUMBAI,2019,Anthony Maras,N,Arjun,Dev Patel,Y,Indian,Indian,Indian,Indian,Indian,American,Y
HOTEL MUMBAI,2019,Anthony Maras,N,Hemant Oberoi,Anupam Kher,Y,Indian,Indian,Indian,Indian,Indian,Indian,Y
HOTEL MUMBAI,2019,Anthony Maras,N,Zahra,Nazanin Boniadi,Y,Iranian,Iranian,British,Iranian,Iranian,Iranian,Y
HOUSE OF FLYING DAGGERS,2004,Yimou Zhang,Y,Jin,Takeshi Kaneshiro,Y,Chinese,Chinese,Chinese,"Chinese, Japanese",Multiethnic,Taiwan,Y
HOUSE OF FLYING DAGGERS,2004,Yimou Zhang,Y,Leo,Andy Lau,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
HOUSE OF FLYING DAGGERS,2004,Yimou Zhang,Y,Xiao Mei,Ziyi Zhang,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
INDIANA JONES AND THE TEMPLE OF DOOM,1984,Steven Spielberg,N,Chattar Lal,Roshan Seth,Y,Indian,Indian,,"Indian, White",Multiethnic,,Y
INDIANA JONES AND THE TEMPLE OF DOOM,1984,Steven Spielberg,N,Mola Ram,Amrish Puri,Y,Indian,Indian,,Indian,Indian,,Y
INDIANA JONES AND THE TEMPLE OF DOOM,1984,Steven Spielberg,N,Short Round,Ke Huy Quan,Y,Chinese,Chinese,,Chinese,Chinese,,Y
IRON MONKEY,2001,Woo Ping Yuen,Y,Wong Kei-Ying,Donnie Yen,Y,Chinese,Chinese,,Chinese,Chinese,Chinese,Y
JACKIE CHAN'S FIRST STRIKE,1997,Stanley Tong,Y,Chan Ka Kui,Jackie Chan,Y,Chinese,Chinese,Chinese,Chinese,Chinese,American,Y
JOHNNY MNEMONIC,1995,Robert Longo,N,Takahashi,Takeshi Kitano,Y,Japanese,Japanese,Japanese,Japanese,Japanese,Japanese,Y
Joy Ride,2023,Adele Lim,Y,Audrey,Ashley Park III,Y,Korean,Korean,American,Korean,Korean,,Y
Joy Ride,2023,Adele Lim,Y,Deadeye,Sabrina Wu,Y,Chinese,Chinese,American,Chinese,Chinese,,Y
Joy Ride,2023,Adele Lim,Y,Kat,Stephanie Hsu,Y,Chinese,Chinese,American,Chinese,Chinese,,Y
Joy Ride,2023,Adele Lim,Y,Lolo,Sherry Cola,Y,Chinese,Chinese,American,Chinese,Chinese,,Y
KILL BILL: VOL. 1,2003,Quentin Tarantino,N,Gogo,Chiaki Kuriyama,Y,Japanese,Japanese,,Japanese,Japanese,,Y
KILL BILL: VOL. 1,2003,Quentin Tarantino,N,Hattori Hanzo,Shin'ichi Chiba,Y,Japanese,Japanese,,Japanese,Japanese,,Y
KILL BILL: VOL. 2,2004,Quentin Tarantino,N,Hattori Hanzo,Shin'ichi Chiba,Y,Japanese,Japanese,,Japanese,Japanese,,Y
KILL BILL: VOL. 2,2004,Quentin Tarantino,N,Pai Mei,Chia-Hui Liu,Y,Chinese,Chinese,,Chinese,Chinese,,Y
LEARNING TO DRIVE,2015,Isabel Coixet,N,Darwan,Ben Kingsley,Y,Indian,Indian,Indian,"Indian, White",Multiethnic,British,Y
LION,2016,Garth Davis,N,Guddu,Abhishek Bharate,Y,Indian,Indian,,Indian,Indian,,Y
LION,2016,Garth Davis,N,Kamla,Priyanka Bose,Y,Indian,Indian,,Indian,Indian,,Y
LION,2016,Garth Davis,N,Mantosh Brierley,Divian Ladwa,Y,Indian,Indian,,Indian,Indian,,Y
LION,2016,Garth Davis,N,Mrs Sood,Deepti Naval,Y,Indian,Indian,,Indian,Indian,,Y
LION,2016,Garth Davis,N,Noor,Tannishtha Chatterjee,Y,Indian,Indian,,Indian,Indian,,Y
LION,2016,Garth Davis,N,Saroo Brierley,Dev Patel,Y,Indian,Indian,,Indian,Indian,,Y
LION,2016,Garth Davis,N,Young Saroo Bierley,Sunny Pawar,Y,Indian,Indian,,Indian,Indian,,Y
MEMOIRS OF A GEISHA,2005,Rob Marshall,N,Chairman,Ken Watanabe,Y,Japanese,Japanese,,Japanese,Japanese,,Y
MIDWAY,2019,Roland Emmerich,N,Admiral Nagumo,Tadanobu Asano,Y,Japanese,Japanese,,Japanese,Japanese,,Y
MIDWAY,2019,Roland Emmerich,N,Admiral Yamamoto,Etsushi Toyokawa,Y,Japanese,Japanese,,Japanese,Japanese,,Y
MIDWAY,2019,Roland Emmerich,N,Rear Admiral Tamon Yamaguchi,Jun Kunimura,Y,Japanese,Japanese,,Japanese,Japanese,,Y
MILLION DOLLAR ARM,2014,Craig Gillespie,N,Aash Shah,Aasif Mandvi,Y,Indian,Indian,Indian,Indian,Indian,,Y
