Media,Release Year,Director name,Is the director asian?,Character Name,Actor,Ethnicity Specified in Movie?,Character Ethnicity,Character Ethnicity (Cleaned),Character Nationality,Actor Ethnicity,Actor Ethnicity (Cleaned),Actor Nationality,Background Match?
MILLION DOLLAR ARM,2014,Craig Gillespie,N,Rinku,Suraj Sharma,Y,Indian,Indian,Indian,Indian,Indian,,Y
Minari,2020,Lee Isaac Chung,Y,Anne,Noel Cho,Y,Korean,Korean,American,Korean,Korean,American,Y
Minari,2020,Lee Isaac Chung,Y,David,Alan Kim,Y,Korean,Korean,American,Korean,Korean,American,Y
Minari,2020,Lee Isaac Chung,Y,Jacob,Steven Yeun,Y,Korean,Korean,American,Korean,Korean,American,Y
Minari,2020,Lee Isaac Chung,Y,Monica,Yeri Han,Y,Korean,Korean,American,Korean,Korean,Korean,Y
Minari,2020,Lee Isaac Chung,Y,Soonja,Yeo-jeong Yoon,Y,Korean,Korean,American,Korean,Korean,Korean,Y
MORTAL KOMBAT,2021,Simon McQuoid,N,Liu Kang,Ludi Lin,Y,Chinese,Chinese,,Chinese,Chinese,,Y
MORTAL KOMBAT,2021,Simon McQuoid,N,Raiden,Tadanobu Asano,Y,Japanese,Japanese,,Japanese,Japanese,,Y
MORTAL KOMBAT,2021,Simon McQuoid,N,Scorpion,Hiroyuki Sanada,Y,Japanese,Japanese,,Japanese,Japanese,,Y
MORTAL KOMBAT,2021,Simon McQuoid,N,Shang Tsung,Chin Han,Y,Chinese,Chinese,,Chinese,Chinese,,Y
MR. NICE GUY,1998,Sammo Hung,Y,Jackie,Jackie Chan,Y,Chinese,Chinese,American,Chinese,Chinese,American,Y
MY NAME IS KHAN,2010,Karan Johar,Y,Mandira,Kajol,Y,Indian,Indian,Indian,Indian,Indian,Indian,Y
MY NAME IS KHAN,2010,Karan Johar,Y,Rizwan Khan,Shah Rukh Khan,Y,Indian,Indian,Indian,Indian,Indian,Indian,Y
NATIONAL LAMPOON'S VAN WILDER: THE RISE OF TAJ,2006,Mort Nathan,N,Taj Mahal Badalandabad,Kal Penn,Y,Indian,Indian,American,Indian,Indian,American,Y
PAST LIVES,2023,Celine Song,Y,Hae Sung,Teo Yoo,Y,Korean,Korean,American,Korean,Korean,German,Y
PAST LIVES,2023,Celine Song,Y,Nora,Greta Lee,Y,Korean,Korean,Korean,Korean,Korean,American,Y
POKEMON DETECTIVE PIKACHU,2019,Rob Letterman,N,Detective Yoshida,Ken Watanabe,Y,Japanese,Japanese,,Japanese,Japanese,,Y
RUSH HOUR,1998,Brett Ratner,N,Lee,Jackie Chan,Y,Chinese,Chinese,Hong Kong,Chinese,Chinese,China,Y
RUSH HOUR 2,2001,Brett Ratner,N,Hu Li,Ziyi Zhang,Y,Chinese,Chinese,Hong Kong,Chinese,Chinese,China,Y
RUSH HOUR 2,2001,Brett Ratner,N,Lee,Jackie Chan,Y,Chinese,Chinese,Hong Kong,Chinese,Chinese,China,Y
RUSH HOUR 2,2001,Brett Ratner,N,Ricky Tan,John Lone,Y,Chinese,Chinese,Hong Kong,Chinese,Chinese,American,Y
RUSH HOUR 3,2007,Brett Ratner,N,Dragon Lady,Youki Kudoh,Y,Japanese,Japanese,,Japanese,Japanese,,Y
RUSH HOUR 3,2007,Brett Ratner,N,Kenji,Hiroyuki Sanada,Y,Japanese,Japanese,,Japanese,Japanese,,Y
RUSH HOUR 3,2007,Brett Ratner,N,Lee,Jackie Chan,Y,Chinese,Chinese,Hong Kong,Chinese,Chinese,China,Y
SEVEN YEARS IN TIBET,1997,Jean-Jacques Annaud,N,Pema Lhaki,Lhakpa Tsamchoe,Y,Tibetan,Tibetan,,Tibetan,Tibetan,,Y
SHANG-CHI AND THE LEGEND OF THE TEN RINGS,2021,Destin Daniel Cretton,Y,Jiang Li,Fala Chen,Y,Chinese,Chinese,,Chinese,Chinese,,Y
SHANG-CHI AND THE LEGEND OF THE TEN RINGS,2021,Destin Daniel Cretton,Y,Jiang Nan,Michelle Yeoh,Y,Chinese,Chinese,,Chinese,Chinese,,Y
SHANG-CHI AND THE LEGEND OF THE TEN RINGS,2021,Destin Daniel Cretton,Y,Katy,Awkwafina,Y,Chinese,Chinese,American,"Chinese, Korean",Multiethnic,American,Y
SHANG-CHI AND THE LEGEND OF THE TEN RINGS,2021,Destin Daniel Cretton,Y,Shang-Chi,Simu Liu,Y,Chinese,Chinese,American,Chinese,Chinese,American,Y
SHANG-CHI AND THE LEGEND OF THE TEN RINGS,2021,Destin Daniel Cretton,Y,Wenwu,Tony Chiu Wai Leung,Y,Chinese,Chinese,,Chinese,Chinese,,Y
SHANG-CHI AND THE LEGEND OF THE TEN RINGS,2021,Destin Daniel Cretton,Y,Wong,Benedict Wong,Y,Chinese,Chinese,,Chinese,Chinese,,Y
SHANG-CHI AND THE LEGEND OF THE TEN RINGS,2021,Destin Daniel Cretton,Y,Xialing,Meng'Er Zhang,Y,Chinese,Chinese,,Chinese,Chinese,,Y
SHANGHAI KNIGHTS,2003,David Dobkin,N,Chon Wang,Jackie Chan,Y,Chinese,Chinese,,Chinese,Chinese,,Y
SHANGHAI KNIGHTS,2003,David Dobkin,N,Wu Chow,Donnie Yen,Y,Chinese,Chinese,,Chinese,Chinese,,Y
SHANGHAI NOON,2000,Tom Dey,N,Chon Wang,Jackie Chan,Y,Chinese,Chinese,,Chinese,Chinese,,Y
SHANGHAI NOON,2000,Tom Dey,N,Princess Pei Pei,Lucy Liu,Y,Chinese,Chinese,,Chinese,Chinese,,Y
SILENCE,2016,Martin Scorsese,N,Interpreter,Tadanobu Asano,Y,Japanese,Japanese,Japanese,Japanese,Japanese,Japanese,Y
SILENCE,2016,Martin Scorsese,N,Mokichi,Shinya Tsukamoto,Y,Japanese,Japanese,Japanese,Japanese,Japanese,Japanese,Y
SKYSCRAPER,2018,Rawson Marshall Thurber,N,Inspector Wu,Byron Mann,Y,Chinese,Chinese,,Chinese,Chinese,,Y
SKYSCRAPER,2018,Rawson Marshall Thurber,N,Xia,Hannah Quinlivan,Y,Chinese,Chinese,,"Chinese, Korean, White",Multiethnic,,Y
SKYSCRAPER,2018,Rawson Marshall Thurber,N,Zhao Long Ji,Chin Han,Y,Chinese,Chinese,,Chinese,Chinese,,Y
SLUMDOG MILLIONAIRE,2008,Danny Boyle,N,Older Jamal,Dev Patel,Y,Indian,Indian,India,Indian,Indian,,Y
SLUMDOG MILLIONAIRE,2008,Danny Boyle,N,Older Latika,Freida Pinto,Y,Indian,Indian,India,Indian,Indian,,Y
SLUMDOG MILLIONAIRE,2008,Danny Boyle,N,Older Salim,Madhur Mittal,Y,Indian,Indian,India,Indian,Indian,,Y
SLUMDOG MILLIONAIRE,2008,Danny Boyle,N,Police Inspector,Irrfan Khan,Y,Indian,Indian,India,Indian,Indian,,Y
SLUMDOG MILLIONAIRE,2008,Danny Boyle,N,Prem,Anil Kapoor,Y,Indian,Indian,India,Indian,Indian,,Y
SPIDER-MAN: NO WAY HOME,2021,John Watts,N,Ned,Jacob Batalon,Y,Filipino,Filipino,American,Filipino,Filipino,America,Y
SUPERCOP,1996,Stanley Tong,Y,Chaibat,Kenneth Tsang,Y,Chinese,Chinese,,Chinese,Chinese,Chinese,Y
SUPERCOP,1996,Stanley Tong,Y,Chief of Security Yang,Michelle Yeoh,Y,Chinese,Chinese,,Chinese,Chinese,Malaysian,Y
SUPERCOP,1996,Stanley Tong,Y,Detective Kevin Chan,Jackie Chan,Y,Chinese,Chinese,,Chinese,Chinese,American,Y
SUPERCOP,1996,Stanley Tong,Y,May,Maggie Cheung,Y,Chinese,Chinese,,Chinese,Chinese,British,Y
SUPERCOP,1996,Stanley Tong,Y,Panther,Wah Yuen,Y,Chinese,Chinese,,Chinese,Chinese,Chinese,Y
THE BIG SICK,2017,Michael Showalter,N,Kumail,Kumail Nanjiani,Y,Pakistani,Pakistani,,Pakistani,Pakistani,,Y
THE BIG SICK,2017,Michael Showalter,N,Naveed,Adeel Akhtar,Y,Pakistani,Pakistani,,"Kenyan, Pakistani",Multiethnic,,Y
THE CHILDREN OF HUANG SHI,2008,Roger Spottiswoode,N,Jack,Chow Yun-Fat,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
THE CHILDREN OF HUANG SHI,2008,Roger Spottiswoode,N,Mrs. Wang,Michelle Yeoh,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Malaysian,Y
THE FAREWELL,2019,Lulu Wang,Y,Billi,Awkwafina,Y,Chinese,Chinese,American,"Chinese, Korean",Multiethnic,American,Y
THE FAREWELL,2019,Lulu Wang,Y,Haiyan,Tzi Ma,Y,Chinese,Chinese,,Chinese,Chinese,American,Y
THE FAREWELL,2019,Lulu Wang,Y,Jian,Diana Lin,Y,Chinese,Chinese,,Chinese,Chinese,Australian,Y
THE FAREWELL,2019,Lulu Wang,Y,Nai Nai,Zhao Shuzhen,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
THE FAREWELL,2019,Lulu Wang,Y,Uncle Haibin,Jianguo Yongbo,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
THE FORBIDDEN KINGDOM,2008,Rob Minkoff,N,Ni Chang,Bingbing Li,Y,Chinese,Chinese,,Chinese,Chinese,,Y
THE FORBIDDEN KINGDOM,2008,Rob Minkoff,N,Old Hop/Lu Yan,Jackie Chan,Y,Chinese,Chinese,,Chinese,Chinese,,Y
THE FORBIDDEN KINGDOM,2008,Rob Minkoff,N,The Jade Warlord,Collin Chou,Y,Chinese,Chinese,,Chinese,Chinese,,Y
THE FORBIDDEN KINGDOM,2008,Rob Minkoff,N,The Monkey King/Silent Monk,Jet Li,Y,Chinese,Chinese,,Chinese,Chinese,,Y
THE FOREIGNER,2017,Martin Campbell,N,Quan,Jackie Chan,Y,Chinese,Chinese,,Chinese,Chinese,,Y
THE GRANDMASTER,2013,Kar Wai Wong,Y,Ding Lianshan,Benshan Zhao,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
THE GRANDMASTER,2013,Kar Wai Wong,Y,Gong Er,Ziyi Zhang,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
THE GRANDMASTER,2013,Kar Wai Wong,Y,Ip Man,Tony Chiu Wai Leung,Y,Chinese,Chinese,Chinese,Chinese,Chinese,British,Y
THE GRANDMASTER,2013,Kar Wai Wong,Y,San Jiang Shui,Xiaoshenyang,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
THE GRANDMASTER,2013,Kar Wai Wong,Y,The Razor Yixiantian,Chang Chen,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Taiwanese,Y
THE INTERVIEW,2013,"Evan Goldberg, Seth Rogen",N,Kim Jung-Un,Randall Park,Y,Korean,Korean,Korean,Korean,Korean,American,Y
THE KARATE KID,2010,Harald Zwart,N,Meiying's Dad,Zhensu Wu,Y,Chinese,Chinese,,Chinese,Chinese,,Y
THE KARATE KID,2010,Harald Zwart,N,Meiying's Mom,Zhiheng Wang,Y,Chinese,Chinese,,Chinese,Chinese,,Y
THE KARATE KID,2010,Harald Zwart,N,Mr. Han,Jackie Chan,Y,Chinese,Chinese,,Chinese,Chinese,,Y
THE LAST SAMURAI,2003,Edward Zwick,N,Katsumoto,Ken Watanabe,Y,Japanese,Japanese,,Japanese,Japanese,,Y
THE LAST SAMURAI,2003,Edward Zwick,N,Taka,Koyuki,Y,Japanese,Japanese,,Japanese,Japanese,,Y
THE LAST SAMURAI,2003,Edward Zwick,N,Ujio,Hiroyuki Sanada,Y,Japanese,Japanese,,Japanese,Japanese,,Y
THE LEGEND OF DRUNKEN MASTER,2000,Chia-Liang Liu,Y,Ling,Anita Mui,Y,Chinese,Chinese,,Chinese,Chinese,,Y
THE LEGEND OF DRUNKEN MASTER,2000,Chia-Liang Liu,Y,Master Fu Wen-Chi,Chia-Liang Liu,Y,Chinese,Chinese,,Chinese,Chinese,,Y
THE LEGEND OF DRUNKEN MASTER,2000,Chia-Liang Liu,Y,Wong Fei-hung,Jackie Chan,Y,Chinese,Chinese,,Chinese,Chinese,American,Y
THE LEGEND OF DRUNKEN MASTER,2000,Chia-Liang Liu,Y,Wong Kei-ying,Ti Lung,Y,Chinese,Chinese,,Chinese,Chinese,,Y
THE MAN WHO KNEW INFINITY,2016,Matt Brown (XIII),N,Janaki,Devika Bhise,Y,Indian,Indian,,Indian,Indian,American,Y
THE MAN WHO KNEW INFINITY,2016,Matt Brown (XIII),N,Srinivasa Ramanujan,Dev Patel,Y,Indian,Indian,,Indian,Indian,American,Y
THE MAN WITH THE IRON FISTS,2012,RZA,N,Chi Chi,Zhu Zhu,Y,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Y
THE MAN WITH THE IRON FISTS,2012,RZA,N,Madame Blossom,Lucy Liu,Y,Chinese,Chinese,Chinese,Chinese,Chinese,American,Y
