Movie ID,Actor ID,Media,Studio,Box Office,Release Year,Director name,Is the director asian?,Character Name,Actor,Ethnicity Specified in Movie?,Character Ethnicity,Character Ethnicity (Cleaned),Character Nationality,Actor Ethnicity,Actor Ethnicity (Cleaned),Actor Nationality,Background Match?
44,131,47 RONIN,Universal Pictures,"$38,362,481",2013,Carl Eric Rinsch,N,Kai,Keanu Reeves,Y,"Japanese, White",Multiethnic,,"Chinese, Native Hawaiian, White",Multiethnic,,N
44,132,47 RONIN,Universal Pictures,"$38,362,481",2013,Carl Eric Rinsch,N,Lady Mizuki,Rinko Kikuchi,Y,Japanese,Japanese,,Japanese,Japanese,,Y
44,133,47 RONIN,Universal Pictures,"$38,362,481",2013,Carl Eric Rinsch,N,Lord Kira,Tadanobu Asano,Y,Japanese,Japanese,,Japanese,Japanese,,Y
44,134,47 RONIN,Universal Pictures,"$38,362,481",2013,Carl Eric Rinsch,N,Mika,Ko Shibasaki,Y,Japanese,Japanese,,Japanese,Japanese,,Y
44,135,47 RONIN,Universal Pictures,"$38,362,481",2013,Carl Eric Rinsch,N,Oishi,Hiroyuki Sanada,Y,Japanese,Japanese,,Japanese,Japanese,,Y
45,136,MILLION DOLLAR ARM,The Walt Disney Studios,"$36,457,632",2014,Craig Gillespie,N,Aash Shah,Aasif Mandvi,Y,Indian,Indian,Indian,Indian,Indian,,Y
45,137,MILLION DOLLAR ARM,The Walt Disney Studios,"$36,457,632",2014,Craig Gillespie,N,Rinku,Suraj Sharma,Y,Indian,Indian,Indian,Indian,Indian,,Y
46,138,THE FOREIGNER,STXfilms,"$34,393,516",2017,Martin Campbell,N,Quan,Jackie Chan,Y,Chinese,Chinese,,Chinese,Chinese,,Y
47,139,THE SECOND BEST EXOTIC MARIGOLD HOTEL,Searchlight Pictures,"$33,078,271",2015,John Madden,N,Sonny Kapoor,Dev Patel,Y,Indian,Indian,,Indian,Indian,,Y
48,140,DOWNSIZING,Paramount Pictures,"$24,449,763",2017,Alexander Payne,N,Ngoc Lan Tran,Hong Chau,Y,Vietnamese,Vietnamese,Vietnamese,Vietnamese,Vietnamese,Thailand/American,Y
49,141,THE SPY NEXT DOOR,Relativity Media LLC,"$24,307,094",2010,Brian Levant,N,Bob Ho,Jackie Chan,Y,Chinese,Chinese,American,Chinese,Chinese,American,Y
50,142,THE FAREWELL,Depth Of Field Productions,"$17,695,784",2019,Lulu Wang,Y,Billi,Awkwafina,Y,Chinese,Chinese,American,"Chinese, Korean",Multiethnic,American,Y
50,143,THE FAREWELL,Depth Of Field Productions,"$17,695,784",2019,Lulu Wang,Y,Haiyan,Tzi Ma,Y,Chinese,Chinese,,Chinese,Chinese,American,Y
