Movie,Year,bo_revenue
BARBIE,2023,655325580
GUARDIANS OF THE GALAXY VOL. 3,2023,369765698
JOHN WICK: CHAPTER 4,2023,192745765
FAST X,2023,150509802
AQUAMAN AND THE LOST KINGDOM,2023,128215666
M3GAN,2023,98013784
THE COLOR PURPLE,2023,62437774
SHAZAM! FURY OF THE GODS,2023,59367155
NO HARD FEELINGS,2023,51965858
A HAUNTING IN VENICE,2023,43745562
THE CREATOR,2023,41997926
KNOCK AT THE CABIN,2023,36459929
MISSING,2023,33477095
ASTEROID CITY,2023,28997621
RENFIELD,2023,17816840
JOY RIDE,2023,13284731
PAST LIVES,2023,11671951
JULES,2023,1982676
DICKS: THE MUSICAL,2023,1496611
DOCTOR STRANGE IN THE MULTIVERSE OF MADNESS,2022,452464777
JURASSIC WORLD DOMINION,2022,414536197
BLACK ADAM,2022,185198531
NOPE,2022,135604798
SMILE,2022,116528561
BULLET TRAIN,2022,113705466
WHERE THE CRAWDADS SING,2022,99253839
EVERYTHING EVERYWHERE ALL AT ONCE,2022,84910968
"LYLE, LYLE, CROCODILE",2022,51627808
DON'T WORRY DARLING,2022,49840353
THE MENU,2022,42381252
THE WHALE,2022,19209995
GLASS ONION: A KNIVES OUT MYSTERY,2022,14608008
EASTER SUNDAY,2022,14315067
UMMA,2022,2333137
MR. MALCOLM'S LIST,2022,2074296
SPIDER-MAN: NO WAY HOME,2021,949656309
SHANG-CHI AND THE LEGEND OF THE TEN RINGS,2021,264961095
ETERNALS,2021,194546883
JUNGLE CRUISE,2021,138045277
DUNE,2021,127826849
OLD,2021,56926168
MORTAL KOMBAT,2021,49797197
THE MATRIX RESURRECTIONS,2021,44470432
SNAKE EYES: G.I. JOE ORIGINS,2021,33351909
THE GREEN KNIGHT,2021,20264529
NIGHTMARE ALLEY,2021,13378977
NOMADLAND,2021,2528746
BAD BOYS FOR LIFE,2020,245301427
BIRDS OF PREY (AND THE FANTABULOUS EMANCIPATION OF ONE HARLEY QUINN),2020,100990164
THE GENTLEMEN,2020,43766162
LIKE A BOSS,2020,26603425
THE GRUDGE,2020,25466173
BILL & TED FACE THE MUSIC,2020,4127599
MINARI,2020,3732703
THE PERSONAL HISTORY OF DAVID COPPERFIELD,2020,2251564
LOVE AND MONSTERS,2020,1284866
AVENGERS: ENDGAME,2019,1055798799
CAPTAIN MARVEL,2019,525000713
SPIDER-MAN: FAR FROM HOME,2019,480354474
ALADDIN,2019,437337846
JUMANJI: THE NEXT LEVEL,2019,389702444
FAST AND FURIOUS PRESENTS: HOBBS & SHAW,2019,213786432
JOHN WICK: CHAPTER 3 - PARABELLUM,2019,210349297
POKEMON DETECTIVE PIKACHU,2019,177249587
GODZILLA: KING OF THE MONSTERS,2019,135915181
h,2019,129105235
YESTERDAY,2019,90142591
MIDWAY,2019,69921578
GEMINI MAN,2019,59712533
LAST CHRISTMAS,2019,43235432
FIGHTING WITH MY FAMILY,2019,28239435
STUBER,2019,27515665
HELLBOY,2019,26941621
CHARLIE'S ANGELS,2019,21897787
THE FAREWELL,2019,21765814
LATE NIGHT,2019,19064338
HOTEL MUMBAI,2019,11871489
THE SUN IS ALSO A STAR,2019,6088542
REPLICAS,2019,4977119
AVENGERS: INFINITY WAR,2018,841731205
JURASSIC WORLD: FALLEN KINGDOM,2018,516793994
AQUAMAN,2018,415476648
DEADPOOL 2,2018,394929371
ANT-MAN AND THE WASP,2018,268644448
VENOM,2018,264759239
CRAZY RICH ASIANS,2018,215825305
OCEAN'S 8,2018,172828435
BUMBLEBEE,2018,157722537
A WRINKLE IN TIME,2018,124593485
RAMPAGE,2018,123188988
SKYSCRAPER,2018,84067486
PACIFIC RIM: UPRISING,2018,73888019
A SIMPLE FAVOR,2018,66400253
THE PREDATOR,2018,63270640
GOOSEBUMPS 2: HAUNTED HALLOWEEN,2018,57908792
SECOND ACT,2018,48709968
SEARCHING,2018,32265995
OPERATION FINALE,2018,21839006
SORRY TO BOTHER YOU,2018,21691446
THE POSSESSION OF HANNAH GRACE,2018,18398411
DOG DAYS,2018,8443267
HOTEL ARTEMIS,2018,8318097
THE SISTERS BROTHERS,2018,3897401
AN INTERVIEW WITH GOD,2018,1489782
STAR WARS: EPISODE VIII - THE LAST JEDI,2017,787630367
JUMANJI: WELCOME TO THE JUNGLE,2017,513734663
GUARDIANS OF THE GALAXY VOL. 2,2017,495062650
JUSTICE LEAGUE,2017,290860860
THE FATE OF THE FURIOUS,2017,287030657
PITCH PERFECT 3,2017,133219869
JOHN WICK: CHAPTER 2,2017,116877070
POWER RANGERS,2017,108412859
BAYWATCH,2017,73736444
XXX: RETURN OF XANDER CAGE,2017,57020990
THE BIG SICK,2017,54448880
THE FOREIGNER,2017,43679765
FIST FIGHT,2017,40877517
LIFE,2017,38397217
DOWNSIZING,2017,31051199
BATTLE OF THE SEXES,2017,16050938
THE SPACE BETWEEN US,2017,10014328
INGRID GOES WEST,2017,3840883
COLLIDE,2017,2895617
THE LITTLE HOURS,2017,2091915
BATMAN V SUPERMAN: DAWN OF JUSTICE,2016,429468261
DOCTOR STRANGE,2016,302434506
STAR TREK BEYOND,2016,206502850
X-MEN: APOCALYPSE,2016,202075237
CENTRAL INTELLIGENCE,2016,165673144
RIDE ALONG 2,2016,118588384
NEIGHBORS 2: SORORITY RISING,2016,72092506
OFFICE CHRISTMAS PARTY,2016,71197745
LION,2016,67260584
ZOOLANDER 2,2016,37503313
MECHANIC: RESURRECTION,2016,27583932
THE EDGE OF SEVENTEEN,2016,18761131
SILENCE,2016,9230238
A HOLOGRAM FOR THE KING,2016,5476251
MORGAN,2016,5089838
THE MAN WHO KNEW INFINITY,2016,5026844
THE NEON DEMON,2016,1733072
JURASSIC WORLD,2015,860901381
FURIOUS 7,2015,463363452
THE HUNGER GAMES: MOCKINGJAY PART 2,2015,371875561
SPECTRE,2015,264098485
PITCH PERFECT 2,2015,242596757
SAN ANDREAS,2015,204851907
THE NIGHT BEFORE,2015,56822542
THE SECOND BEST EXOTIC MARIGOLD HOTEL,2015,43663318
CHAPPIE,2015,41671444
MR. HOLMES,2015,23413701
SELF/LESS,2015,16209204
THE WALK,2015,13039980
MORTDECAI,2015,10158909
LEARNING TO DRIVE,2015,4550886
MEET THE PATELS,2015,2244904
THE HUNGER GAMES: MOCKINGJAY PART 1,2014,445019377
GUARDIANS OF THE GALAXY,2014,439793115
GODZILLA,2014,264892415
NIGHT AT THE MUSEUM: SECRET OF THE TOMB,2014,150145544
HERCULES,2014,95948974
EXODUS: GODS AND KINGS,2014,85819164
JOHN WICK,2014,56809947
MILLION DOLLAR ARM,2014,48124074
NIGHTCRAWLER,2014,42743121
3 DAYS TO KILL,2014,40521369
DELIVER US FROM EVIL,2014,40361813
BEGIN AGAIN,2014,21345246
THE INTERVIEW,2014,8058842
THE RAILWAY MAN,2014,5858750
GIMME SHELTER,2014,1795089
IRON MAN 3,2013,548078763
FAST & FURIOUS 6,2013,319831010
STAR TREK INTO DARKNESS,2013,306563412
THOR: THE DARK WORLD,2013,276525276
THE WOLVERINE,2013,177626191
G.I. JOE: RETALIATION,2013,164180912
THE HANGOVER PART III,2013,150348107
ENDER'S GAME,2013,82727843
PAIN AND GAIN,2013,66832899
SNITCH,2013,57526828
47 RONIN,2013,51405725
SPRING BREAKERS,2013,18926550
BULLET TO THE HEAD,2013,12716382
MACHETE KILLS,2013,10730944
THE GRANDMASTER,2013,8837257
CLOSED CIRCUIT,2013,7705548
GIRL MOST LIKELY,2013,1847324
ROMEO AND JULIET,2013,1557942
LINCOLN,2012,247802850
JOURNEY 2: THE MYSTERIOUS ISLAND,2012,141250007
THE DICTATOR,2012,81124311
TOTAL RECALL,2012,80074050
RED TAILS,2012,67831884
PREMIUM RUSH,2012,27574613
THE MAN WITH THE IRON FISTS,2012,21262372
FAST FIVE,2011,293772751
BATTLE: LOS ANGELES,2011,116973413
HUGO,2011,103410318
30 MINUTES OR LESS,2011,51875505
SUCKER PUNCH,2011,50949514
A VERY HAROLD & KUMAR 3D CHRISTMAS,2011,49085452
BEASTLY,2011,39011812
